timestamp_ms,ax,ay,az,gx,gy,gz
279226,0.04,-0.03,0.98,-0.55,5.92,1.77
279259,0.04,-0.03,0.97,-2.20,3.91,1.53
279291,0.03,-0.02,0.98,-0.73,2.08,2.08
279323,0.03,0.00,0.98,-0.73,2.81,2.14
279355,0.06,0.00,0.95,-1.40,1.53,-0.24
279387,0.06,-0.01,0.97,1.40,-2.38,-1.34
279420,0.05,-0.03,0.99,0.55,-4.09,-1.46
279452,0.04,-0.03,1.01,-0.73,-4.82,-0.06
279485,0.04,-0.02,1.01,-1.34,-3.66,0.31
279517,0.04,-0.00,1.01,-3.78,-3.91,-1.46
279550,0.03,-0.01,1.02,-1.46,-3.78,-0.67
279582,0.03,-0.02,1.02,-1.77,-1.10,-1.53
279614,0.02,-0.03,1.01,-2.08,-3.05,-2.20
279647,0.02,-0.03,1.05,-0.37,-3.91,0.55
279679,0.03,-0.02,1.11,1.77,-2.62,1.59
279712,0.03,-0.03,1.23,-1.65,4.39,-1.59
279744,0.08,-0.03,1.52,-10.62,5.80,-4.82
279776,0.14,-0.03,1.87,-23.93,16.11,-10.44
279808,0.02,0.05,2.12,-31.56,41.08,-11.66
279841,-0.04,0.08,2.04,-36.44,124.39,0.43
279873,0.05,0.06,1.55,-66.96,155.70,-20.94
279905,0.22,-0.05,1.27,-76.48,159.91,-36.13
279937,0.44,-0.07,1.01,-70.68,149.78,-27.59
279970,0.54,-0.01,0.75,-75.20,120.54,-18.07
280002,0.59,0.15,0.54,-68.66,89.05,-22.03
280034,0.57,0.14,0.47,-49.50,63.78,-30.76
280061,0.56,0.11,0.42,-48.40,43.27,-37.96
280094,0.52,0.13,0.46,-52.98,25.45,-45.10
280125,0.50,0.12,0.49,-68.36,17.82,-52.12
280156,0.47,0.16,0.36,-77.82,11.35,-42.97
280189,0.35,0.19,0.33,-62.38,0.92,-29.11
280221,0.36,0.11,0.22,-74.52,10.93,-32.78
280253,0.45,0.11,0.05,-85.57,-2.56,-31.13
280285,0.35,0.35,0.24,-86.30,-65.00,-30.40
280317,0.28,0.28,0.55,-71.04,-65.98,-39.37
280350,0.21,0.44,0.60,-54.87,-35.83,-13.98
280382,0.25,0.40,0.52,-30.03,-25.09,-5.13
280414,0.18,0.25,0.62,-10.86,-18.55,-4.27
280446,0.28,0.17,0.61,-0.73,8.00,23.01
280478,0.30,0.36,0.42,-10.38,9.95,32.65
280510,0.15,0.43,0.46,30.27,-6.84,33.08
280542,0.22,0.21,0.60,57.98,3.91,39.00
280574,0.18,0.36,0.49,43.88,8.12,57.80
280606,0.19,0.41,0.49,75.99,-1.95,63.66
280638,0.37,0.20,0.64,89.48,-4.15,59.51
280670,0.27,0.38,0.74,67.08,-16.97,62.32
280702,0.49,0.17,0.79,99.12,-6.53,40.53
280733,0.41,0.10,0.88,53.83,-29.24,19.10
280765,0.57,0.31,0.88,58.23,-37.96,58.90
280797,0.48,0.19,0.92,107.30,-61.95,63.66
280829,0.41,0.33,1.17,93.26,-69.89,71.78
280862,0.49,0.28,1.33,128.42,-45.04,76.23
280894,0.44,0.16,1.26,86.30,-46.45,30.82
280926,0.38,0.09,1.32,50.54,-41.32,-9.22
280959,0.48,0.02,1.29,25.21,-36.32,-12.57
280991,0.34,0.01,1.36,44.25,-60.00,5.13
281022,0.24,-0.03,1.36,46.57,-53.28,22.40
281055,0.23,0.13,1.28,-3.60,-31.86,20.20
281087,0.23,0.25,1.19,-2.32,-23.62,8.54
281119,0.15,0.13,1.15,8.97,-25.39,-9.22
281152,0.06,0.01,1.23,0.92,-24.29,-22.95
281183,0.05,-0.05,1.21,-10.56,-0.18,-25.02
281216,0.11,-0.08,1.09,-18.68,15.26,-17.70
281248,0.15,0.05,1.07,-11.96,5.92,-4.58
281281,0.18,0.07,1.02,1.16,9.03,2.62
281313,0.18,0.10,0.97,-0.92,5.13,-3.36
281345,0.19,0.05,0.98,7.39,1.53,-7.63
281376,0.16,0.01,0.97,18.07,-0.85,-3.97
281409,0.15,-0.06,0.96,15.93,1.46,-3.23
281440,0.14,-0.07,0.95,9.16,0.49,-3.17
281473,0.15,-0.07,0.93,13.37,-2.26,8.79
281505,0.10,-0.03,1.02,25.57,-15.81,21.85
281537,0.06,0.03,1.11,28.63,-9.46,27.22
281569,0.10,0.02,1.06,20.20,3.42,21.18
281600,0.12,0.02,1.05,4.15,1.65,6.35
281632,0.08,-0.06,1.07,9.09,0.61,4.64
281665,0.07,-0.07,1.07,9.64,5.74,15.93
281697,0.11,-0.04,1.00,-4.82,8.85,14.95
281729,0.12,-0.03,0.97,-14.16,5.68,6.96
281761,0.11,-0.02,0.97,-14.59,-0.49,4.27
281793,0.11,-0.03,0.98,-10.01,0.92,4.33
281825,0.13,-0.05,0.94,-22.83,5.74,-4.03
281858,0.17,-0.02,0.92,-24.84,2.56,-9.89
281891,0.15,-0.02,0.92,-14.47,-6.96,-13.06
281924,0.14,-0.02,0.95,-7.39,-9.52,-15.08
281956,0.12,-0.01,0.92,-9.46,-16.17,-20.39
281988,0.07,-0.05,1.00,0.79,-25.82,-21.67
282021,0.06,-0.04,1.01,-1.04,-21.55,-18.92
282054,0.07,0.04,0.99,1.46,-15.69,-14.89
282085,0.06,0.02,1.00,-1.22,-16.11,-22.22
282117,0.04,-0.00,1.04,-4.09,-12.02,-24.96
282150,0.04,-0.01,1.02,3.60,-8.36,-14.89
282182,0.04,0.02,1.01,5.62,-6.71,-9.58
