gesture,participant_id,session_id,repetition_id,recording_id,window_id,segment_id,source_file,n_muestras,fs_hz,duracion_s,acc_mag_energy,acc_mag_entropy,acc_mag_kurtosis,acc_mag_mean,acc_mag_skewness,acc_mag_variance,ax_energy,ax_entropy,ax_kurtosis,ax_mean,ax_skewness,ax_variance,ay_energy,ay_entropy,ay_kurtosis,ay_mean,ay_skewness,ay_variance,az_energy,az_entropy,az_kurtosis,az_mean,az_skewness,az_variance,gx_energy,gx_entropy,gx_kurtosis,gx_mean,gx_skewness,gx_variance,gy_energy,gy_entropy,gy_kurtosis,gy_mean,gy_skewness,gy_variance,gyro_mag_energy,gyro_mag_entropy,gyro_mag_kurtosis,gyro_mag_mean,gyro_mag_skewness,gyro_mag_variance,gz_energy,gz_entropy,gz_kurtosis,gz_mean,gz_skewness,gz_variance
abajo,01,01,001,abajo_p01_s01_r001,0,abajo_p01_s01_r001_w00,abajo/participante_01_sesion_01_rep_001.csv,45,30.303030303030305,1.4849999999999999,1.2276244444444442,3.622098307720394,-0.9310767965069706,0.995484279473101,0.2897677306548696,0.24201357317014605,0.02947111111111111,3.5295472624674935,-0.2946350837119298,-0.05599999999999999,-0.9228214423029177,0.02693363636363636,0.02362,3.3587379656176615,1.5030399385619457,0.05488888888888889,0.8232719731914084,0.02107555555555556,1.1745333333333332,3.7609571982867696,-0.8751420626085906,-0.9697777777777777,-0.28841304423461245,0.23938404040404038,1102.9151577777777,3.2443991427792915,1.891859107295529,-3.699333333333333,0.9974623866247373,1113.98532,1783.339777777778,3.395437620159956,-0.45883638548308214,4.724,0.6850875070096624,1801.0468654545455,3248.3463822222216,3.707838097718698,-0.5220804790408273,49.7401233511259,0.3226828037691927,791.8634774014807,362.09144666666674,3.486189909917875,-0.10809236419782708,-5.627333333333333,0.3132840420353908,337.93421545454544
abajo,01,01,001,abajo_p01_s01_r001,1,abajo_p01_s01_r001_w01,abajo/participante_01_sesion_01_rep_001.csv,45,30.303030303030305,1.4849999999999999,0.9815488888888889,3.4308515766806953,0.3841691358917858,0.8887083478686242,0.37507348242779703,0.1961042331656344,0.027424444444444442,3.281519274495712,0.06574943322379045,-0.08111111111111113,-1.0590835518077006,0.021319191919191925,0.021877777777777777,3.05122675597795,2.3537422623016298,0.066,0.9864109118673827,0.01792,0.9322466666666668,3.4493330297022307,0.4381279915329066,-0.8544444444444443,-0.1375436325903769,0.2067661616161616,1020.516357777778,3.302886574907055,1.9758242647810587,0.6264444444444446,0.9556841634936367,1043.3085597979798,512.625142222222,3.142847935009375,2.2031541428204147,-7.439555555555557,0.07719298242674391,467.6708407070706,1915.9275444444443,3.365552889298336,0.6605494488786512,36.59035174427741,0.8970482950691266,590.1890151216469,382.78604444444437,3.243469276557816,0.7847947921796155,-4.490222222222223,0.5893848042801372,370.8654022222222
abajo,01,01,001,abajo_p01_s01_r001,2,abajo_p01_s01_r001_w02,abajo/participante_01_sesion_01_rep_001.csv,45,30.303030303030305,1.4849999999999999,1.555037777777778,3.4138580962335205,-0.5581969689473212,1.060930413923065,0.4583212676077987,0.4392249899224207,0.07549777777777779,3.2977440559091216,-0.5335358505374814,-0.1551111111111111,-0.8665418776820666,0.052607373737373744,0.042715555555555555,3.1999546983348472,1.0911676517324036,0.10533333333333333,1.0669757008776675,0.03233909090909091,1.4368244444444445,3.3846387021479583,-0.44027844412051476,-1.0073333333333332,-0.3671844721078448,0.43169727272727276,1987.531128888889,3.5382219185911197,-0.10517216148419495,4.534666666666666,0.3048344804335358,2011.6717436363635,1930.117511111111,3.0380223321614483,2.3043235128106367,1.0146666666666666,1.1854772541222063,1972.9308709090908,4331.519355555555,3.503321019543808,-0.16822548107458646,54.01612780672208,0.6677756505127145,1445.9085944216806,413.87071555555565,3.5717724742428296,0.18497970153831833,-1.2666666666666666,0.17176053549509115,421.63595909090907
abajo,01,01,002,abajo_p01_s01_r002,0,abajo_p01_s01_r002_w00,abajo/participante_01_sesion_01_rep_002.csv,45,30.303030303030305,1.4849999999999999,1.464246666666667,3.3560056754751253,-1.368676245318407,1.056188866483063,0.2082763342611082,0.35663701191534164,0.16843555555555556,3.087896085113555,-1.5494236490539726,-0.25022222222222223,-0.40784693715236764,0.10822949494949494,0.09397333333333331,3.379113144914916,-0.39924046741523833,0.1853333333333334,0.8331702371607294,0.060980000000000006,1.2018377777777778,3.2938560869833498,-0.5260381459548134,-0.9144444444444446,0.32626711733025454,0.3739388888888888,1775.2046666666668,2.736925370012605,3.2371287899240837,-0.014666666666667705,1.2804515436130368,1815.5500072727273,3128.6869311111113,3.387787801038542,0.04390235030145151,3.3953333333333338,0.7663356756147487,3188.003157272728,5527.554253333334,2.9900070337076508,1.2832239103226097,58.642254335133075,0.9972948071644901,2136.109356641149,623.6626555555554,3.450775953397135,0.0956137339517853,-4.1113333333333335,-0.36402637488478823,620.5495845454544
abajo,01,01,002,abajo_p01_s01_r002,1,abajo_p01_s01_r002_w01,abajo/participante_01_sesion_01_rep_002.csv,45,30.303030303030305,1.4849999999999999,1.546348888888889,3.3050448306281925,-1.7526555163258424,1.1046516600834848,-0.11178557676579315,0.33350481691740996,0.17542000000000002,3.522315530038771,-1.2364026064576972,-0.3104444444444444,0.10513803313924298,0.08084070707070706,0.0969088888888889,3.541884074955132,-0.43164553130767747,0.22155555555555556,0.3179820635401918,0.04890888888888889,1.27402,3.2952367557856417,-1.7280087778642896,-1.0046666666666666,0.06477020573551394,0.27068000000000003,1230.1380688888887,3.4026083756407086,-0.16876036492853874,1.9917777777777776,-0.32566478025398043,1254.0384104040406,2254.1301911111113,3.8057574745312923,-0.8514583350036622,6.827555555555555,-0.21254030904912408,2257.6854643434344,4236.762817777777,3.6714942749764825,-0.4512110026034195,60.70970298649054,-0.11570998483447437,563.6196624578319,752.4945577777778,3.4552144187353506,-0.09367839704068803,-3.150888888888889,-0.01322843554207549,759.4429673737374
abajo,01,01,002,abajo_p01_s01_r002,2,abajo_p01_s01_r002_w02,abajo/participante_01_sesion_01_rep_002.csv,45,30.303030303030305,1.4849999999999999,1.2154888888888888,3.563255043792553,-1.6171423926151134,0.9985128332855688,0.18192178398164596,0.22342603362229896,0.13581111111111113,3.700093307816549,-1.2264268067978539,-0.27133333333333326,-0.12920948611060645,0.06360272727272728,0.07621111111111112,3.6220983077203943,-1.1189896570017421,0.1962222222222222,0.0055728016004276855,0.03856494949494949,1.0034666666666667,3.6707789429502484,-1.4787742847299497,-0.9111111111111113,-0.24401315123005182,0.1772828282828283,806.0505111111112,3.3935778877170035,0.4841876347732037,-1.1457777777777782,0.33164419740373985,823.0271976767675,1723.0315777777776,3.734994206863861,-0.7719177355095814,4.014222222222222,0.22045112157918298,1745.7111794949494,3029.2876,3.795437620159955,-0.8595942063268529,50.176859325969545,-0.058150949036743324,523.1969879132685,500.2055111111111,3.602173931003955,-0.10209778091488975,0.18311111111111142,0.6559233293915211,511.53952646464654
abajo,01,01,003,abajo_p01_s01_r003,0,abajo_p01_s01_r003_w00,abajo/participante_01_sesion_01_rep_003.csv,45,30.303030303030305,1.4849999999999999,1.2774800000000004,3.4076208754003225,-1.5992853980324935,0.9776945173636032,0.29107082845568305,0.32890237232435887,0.3144733333333333,3.244624955341051,-1.669464303443055,-0.36422222222222234,-0.2769010365956685,0.18594767676767682,0.0927511111111111,3.6429562190843874,-1.255735920060531,0.1791111111111111,0.4416814265393076,0.062049191919191914,0.8702555555555558,3.4009009225003854,-1.3270707952948393,-0.8219999999999998,-0.3372480298772497,0.19899363636363637,1790.1234,3.6130678197966906,-0.08612247444697996,-1.4724444444444442,-0.21817132143258203,1828.5906552525257,6068.532268888889,3.407107817926895,-0.757574283298478,-1.7522222222222235,0.45124712276354145,6203.313394949495,8590.616053333331,3.708767963940175,-1.5179345836419889,82.07227858032532,-0.019548442060089318,1896.9107133751445,731.9603844444446,3.5944291411018052,0.03222282185010128,-4.3051111111111116,-0.42084419253636435,729.6406391919191
abajo,01,01,003,abajo_p01_s01_r003,1,abajo_p01_s01_r003_w01,abajo/participante_01_sesion_01_rep_003.csv,45,30.303030303030305,1.4849999999999999,1.3321800000000001,3.315999696368898,-1.8127414848638237,1.0286005317967646,0.13459949284470005,0.2803918765780366,0.30083777777777776,3.368219256122181,-1.540986297777903,-0.37755555555555553,-0.12334644378045145,0.16188707070707073,0.10343999999999999,3.5269112210503373,-1.3767001854754437,0.21911111111111115,0.17908868364886554,0.056690101010100996,0.9279022222222221,3.5292217560741044,-1.596788404582798,-0.8719999999999998,-0.2955523192209943,0.17132545454545453,1797.6660800000002,3.6162169186872744,-0.010814698186720761,0.17911111111111147,-0.3011996559185072,1838.4893173737373,5248.6976933333335,3.6220983077203943,-0.7106774882052589,-3.8444444444444437,0.2728073645779085,5352.870620707071,8021.347008888889,3.7283365088565357,-1.4532010211171478,79.40193037997186,0.039764966739389694,1755.695925841693,974.9832355555556,3.632062330291653,-0.31216971020979933,-3.352444444444444,0.014130655578828227,985.6476325252526
abajo,01,01,003,abajo_p01_s01_r003,2,abajo_p01_s01_r003_w02,abajo/participante_01_sesion_01_rep_003.csv,45,30.303030303030305,1.4849999999999999,1.2265666666666668,3.3546590005056007,-1.7816190831996477,0.9364364660973591,0.13961220879686692,0.3576000800758873,0.25547777777777775,3.5599487192286197,-1.6570923841114258,-0.34688888888888897,-0.07693555789205855,0.13821737373737375,0.11821333333333334,3.7023125404856567,-1.0090879613113353,0.2222222222222223,0.34497581458524035,0.0703949494949495,0.8528755555555555,3.495996706815784,-1.6129288130345274,-0.7835555555555557,-0.20810265538016479,0.24434616161616163,1907.7990044444448,3.5940733093017263,-0.39492411710482545,5.151111111111112,-0.6107780622780368,1924.0210828282825,4780.6648911111115,3.7976568528290637,-0.976363440370966,9.068222222222222,0.1618381112812884,4805.214787676767,8151.617704444445,3.6220983077203943,-1.0520965135483193,83.23602450601129,-0.050732890650202186,1251.1860636263843,1463.1538088888888,3.717442620063801,-1.2330168081542425,4.581333333333334,-0.09369976639066854,1474.9416754545457
abajo,01,01,004,abajo_p01_s01_r004,0,abajo_p01_s01_r004_w00,abajo/participante_01_sesion_01_rep_004.csv,47,31.25,1.504,1.438227659574468,2.650038477920462,1.988607263183792,1.07807166899283,0.9958411071726447,0.28198889991751463,0.20866595744680855,2.4045026125732036,0.911150083490182,-0.09978723404255319,-1.5632370153298187,0.20302821461609621,0.02007659574468085,2.3705129907468265,6.7800805675401925,-0.0702127659574468,2.6183793123184844,0.015476040703052732,1.209485106382979,2.5416914102160404,1.685960131486116,-0.9519148936170212,0.39145027272878974,0.3099375578168363,572.255659574468,3.014377599529159,1.7409481504528515,6.070212765957445,1.373426849397652,547.0474847363553,9615.517146808512,2.8520452344722353,2.2917819036903655,33.612553191489354,1.7294687862740996,8670.185445513414,10306.092089361704,2.365402946087412,2.803073864893177,59.52606826493382,1.8973769521203767,6909.755357721012,118.31928297872338,2.5072077646822266,4.746023710202246,-0.4308510638297872,-0.9583853772047195,120.70177317298796
