timestamp_ms,ax,ay,az,gx,gy,gz
876710,0.04,0.08,1.03,-19.53,13.92,-120.79
876741,0.03,-0.01,1.02,-17.88,13.31,-126.16
876774,0.03,-0.08,1.02,-24.11,11.54,-124.45
876806,0.02,-0.09,1.00,-31.56,13.85,-119.75
876838,0.04,-0.14,0.97,-29.24,13.61,-114.81
876871,0.07,-0.17,0.96,-28.14,10.25,-112.43
876904,0.09,-0.21,0.94,-28.75,7.63,-107.67
876937,0.12,-0.23,0.94,-28.20,4.64,-93.08
876969,0.13,-0.19,0.97,-28.75,3.85,-87.71
877002,0.17,-0.20,0.97,-35.22,3.17,-80.51
877035,0.17,-0.14,0.95,-39.06,2.69,-72.45
877068,0.19,-0.18,0.92,-31.37,2.56,-67.87
877100,0.17,-0.21,0.91,-33.69,-2.14,-62.19
877132,0.19,-0.25,0.93,-29.24,-6.23,-52.12
877164,0.21,-0.15,0.95,-27.71,-3.36,-42.79
877196,0.25,-0.17,0.93,-14.89,-2.99,-39.49
877228,0.25,-0.18,0.94,-12.57,-4.88,-33.39
877261,0.27,-0.14,0.94,-13.67,-4.94,-26.73
877293,0.26,-0.10,0.97,-8.00,-6.65,-23.80
877326,0.25,-0.14,0.97,-8.36,-6.59,-20.02
877358,0.24,-0.16,1.02,-8.61,-3.66,-14.22
877391,0.24,-0.16,0.99,-9.03,4.15,-7.08
877424,0.27,-0.18,0.93,-6.84,6.10,-1.40
877456,0.27,-0.19,0.97,3.66,-2.08,8.48
877488,0.22,-0.26,1.00,4.21,2.08,17.58
877520,0.22,-0.29,1.03,-1.46,5.31,29.05
877553,0.23,-0.21,0.99,-0.37,11.41,44.62
877585,0.24,-0.13,0.98,14.16,16.05,53.77
877617,0.28,-0.22,0.89,12.08,15.08,57.56
877649,0.21,-0.12,0.97,10.62,5.37,67.63
877681,0.20,-0.13,1.00,29.85,8.67,73.97
877714,0.20,-0.13,0.98,23.74,10.25,78.61
877746,0.20,-0.12,1.00,26.18,10.44,86.00
877775,0.20,-0.10,0.96,32.10,13.24,91.37
877807,0.18,-0.07,0.98,25.27,6.53,94.91
877839,0.17,-0.01,0.96,27.47,8.54,100.16
877871,0.17,-0.00,0.98,36.38,5.13,95.95
877903,0.17,-0.03,1.00,32.10,0.61,96.07
877935,0.17,0.03,0.98,23.13,1.53,99.43
877967,0.16,0.12,1.01,32.17,2.93,94.91
877999,0.16,0.14,1.00,31.74,2.32,87.28
878030,0.15,0.03,1.01,39.73,-4.27,78.37
878063,0.13,0.06,1.02,29.60,-5.37,80.81
878095,0.11,0.06,0.99,26.79,-4.70,77.58
878126,0.10,0.10,0.99,27.22,-5.98,76.78
878158,0.08,0.11,0.97,28.75,-5.74,72.63
878191,0.10,0.08,0.92,23.50,-7.45,67.32
878223,0.13,0.13,0.91,13.24,-17.88,65.49
878255,0.08,0.17,1.01,13.61,-25.21,60.24
878286,0.06,0.24,1.08,7.81,-22.16,57.68
878318,0.08,0.30,1.06,-1.46,-13.12,51.88
878351,0.11,0.31,1.04,-1.71,-10.99,41.63
878383,0.11,0.26,1.05,-3.23,-9.52,29.79
878415,0.13,0.18,1.05,-7.87,-10.80,24.48
878447,0.12,0.13,1.06,-16.17,-10.25,21.61
878477,0.13,0.16,1.07,-18.68,-7.81,22.28
878509,0.13,0.21,1.06,-18.49,-3.30,19.84
878541,0.16,0.19,1.01,-16.42,-2.50,8.85
878573,0.15,0.13,1.03,-13.43,-5.98,5.00
878606,0.13,0.13,1.03,-19.10,-3.48,4.94
878638,0.10,0.17,1.04,-14.40,-0.67,5.37
878670,0.14,0.16,1.02,-11.41,3.42,2.87
878702,0.17,0.19,0.96,-11.47,3.85,0.18
878734,0.18,0.21,0.97,-4.39,1.83,-5.92
878766,0.16,0.15,0.97,1.53,2.01,-12.27
878798,0.15,0.08,0.96,-4.88,1.77,-13.12
878830,0.15,0.08,0.94,-10.86,0.73,-3.97
878862,0.15,0.15,0.92,-16.54,-2.93,-3.05
878894,0.15,0.16,0.93,-10.38,-5.19,-2.20
878925,0.17,0.12,0.93,-9.89,-8.61,-3.54
878957,0.13,0.10,1.02,-6.35,-13.37,-1.46
878989,0.11,0.15,1.05,-10.68,-5.98,6.23
879021,0.14,0.17,1.03,-8.42,-0.98,4.88
879053,0.17,0.14,0.97,-13.12,2.50,7.57
879085,0.18,0.19,0.96,-16.78,0.85,11.90
879117,0.15,0.27,0.98,-12.82,-0.61,12.57
879149,0.16,0.22,1.00,-6.04,1.89,6.84
879180,0.17,0.17,0.97,-17.15,1.04,10.07
879212,0.17,0.29,0.99,-20.39,-2.14,8.61
879245,0.16,0.27,1.00,-12.27,-3.97,1.28
879277,0.15,0.22,1.00,-5.68,-3.42,-4.94
879309,0.13,0.18,0.96,-3.11,-0.61,-3.42
879341,0.09,0.23,0.96,9.28,-2.20,-2.26
879373,0.08,0.20,0.98,12.51,1.71,-4.52
879405,0.11,0.22,0.94,8.30,8.97,-1.65
879437,0.15,0.19,0.89,4.94,9.22,-1.71
879469,0.14,0.24,0.92,1.34,6.16,-0.24
879501,0.16,0.23,0.93,-2.14,6.23,-0.73
879533,0.15,0.24,0.96,-2.75,3.78,-1.53
879565,0.16,0.22,0.97,-0.49,4.64,-2.26
879597,0.19,0.21,0.93,-1.95,7.02,-2.62
879629,0.18,0.20,0.95,5.37,2.81,-1.28
879661,0.18,0.20,0.94,16.97,8.12,2.20
