timestamp_ms,ax,ay,az,gx,gy,gz
816672,-0.00,0.04,1.01,-1.83,0.37,2.87
816704,-0.03,0.09,1.01,-6.10,0.31,1.83
816737,-0.02,0.06,1.00,0.31,1.40,0.24
816769,-0.03,0.09,0.99,-1.10,0.79,1.34
816801,-0.03,0.07,0.99,-0.79,-1.22,-2.56
816834,-0.02,0.04,0.99,3.11,2.08,-2.38
816866,-0.02,0.07,0.97,-2.26,0.24,-0.79
816899,-0.02,0.09,0.98,-1.40,-3.05,-1.53
816931,-0.05,0.11,1.02,4.82,-1.28,-3.85
816963,-0.04,0.14,1.00,-0.12,-0.98,-4.46
816996,-0.06,0.25,1.05,-3.91,-3.30,-8.48
817028,-0.07,0.33,1.05,2.50,-0.18,-14.28
817061,-0.11,0.38,1.07,8.12,6.23,-34.61
817094,-0.12,0.34,1.02,4.64,8.24,-47.18
817125,-0.14,0.32,1.03,6.35,4.88,-52.61
817157,-0.17,0.37,1.09,9.70,2.75,-61.83
817189,-0.17,0.31,1.08,7.26,12.94,-83.98
817221,-0.17,0.16,1.05,7.08,15.87,-98.51
817254,-0.16,0.11,1.05,1.04,11.72,-98.33
817286,-0.16,0.15,1.05,-3.30,12.51,-96.07
817318,-0.14,0.13,1.03,4.21,21.00,-112.73
817350,-0.13,0.08,0.99,-4.46,14.77,-117.80
817383,-0.10,0.02,0.98,-4.70,12.63,-119.26
817415,-0.08,-0.01,0.97,-6.53,9.52,-113.65
817448,-0.09,-0.00,0.99,-10.13,4.15,-107.91
817479,-0.09,0.00,1.00,-0.37,10.19,-116.21
817511,-0.05,-0.09,0.96,-9.89,7.08,-114.01
817544,-0.04,-0.09,0.96,-15.20,-1.04,-106.81
817575,-0.07,-0.06,1.02,-8.30,-4.52,-101.81
817607,-0.03,-0.14,0.99,-6.96,-1.04,-99.61
817638,-0.02,-0.11,0.97,-11.72,-2.75,-92.22
817672,-0.01,-0.14,0.99,0.00,-4.03,-87.65
817705,-0.02,-0.10,1.00,-7.63,-3.42,-80.75
817738,0.09,-1.02,1.06,-27.95,21.06,19.53
817770,0.13,-0.48,1.15,90.88,14.47,159.97
817802,0.07,-0.08,0.95,-188.29,0.61,49.13
817835,0.19,0.25,1.06,-40.22,-9.46,44.80
817867,0.25,0.07,0.85,35.03,9.64,-33.81
817899,0.22,0.07,0.87,30.58,1.40,-38.94
817931,0.20,-0.06,0.89,16.66,-0.18,-37.48
817964,0.17,0.04,0.85,30.88,-1.28,-54.69
817993,0.13,-0.11,0.98,13.49,-10.25,-39.06
818025,0.11,-0.01,0.98,4.70,4.21,-23.62
818057,0.11,0.12,0.97,16.11,6.90,-16.42
818089,0.10,0.10,0.92,18.80,-9.16,-29.85
818121,0.04,0.10,1.07,12.33,-5.19,-18.37
818153,0.07,0.06,1.04,20.08,13.06,-8.36
818185,0.08,0.12,1.06,8.06,-5.80,-26.25
818218,0.11,0.10,1.02,4.88,-7.93,-35.77
818250,0.11,-0.01,0.97,12.94,3.23,-41.56
818281,0.12,-0.12,0.96,8.24,2.38,-27.59
818313,0.10,-0.02,1.01,-0.12,-5.31,-14.77
818346,0.07,-0.05,1.03,4.64,0.92,-18.86
818378,0.09,-0.07,1.01,-1.65,1.83,-14.10
818410,0.12,-0.06,0.98,-2.08,2.62,-10.13
818443,0.12,-0.04,0.99,2.32,2.14,-10.19
818475,0.14,-0.09,0.96,1.71,-0.06,-11.90
818507,0.11,-0.11,0.99,5.13,-2.32,-9.95
818538,0.11,-0.11,0.99,4.21,0.67,-7.63
818571,0.11,-0.11,0.98,1.89,-0.73,-4.39
818603,0.11,-0.12,0.98,-0.31,-3.72,-0.06
818635,0.10,-0.08,1.02,2.32,0.67,0.98
818667,0.13,-0.12,0.96,0.31,4.64,2.87
818699,0.12,-0.10,0.96,0.37,-2.38,3.42
818731,0.11,-0.10,0.99,4.58,-6.47,6.29
818763,0.08,-0.04,1.02,16.78,0.12,5.31
818795,0.10,-0.11,0.97,12.08,0.92,3.85
818827,0.07,-0.19,0.96,15.69,-0.61,4.58
818859,0.07,-0.30,0.96,15.87,-3.48,6.04
818891,0.04,-0.28,1.00,7.63,-7.26,16.30
818923,0.06,-0.31,0.95,5.31,1.40,24.11
818955,0.06,-0.28,0.94,-0.31,3.11,28.69
818987,0.05,-0.18,0.97,9.28,4.27,45.23
819019,0.11,-0.19,0.89,23.38,15.87,47.79
819051,0.11,-0.30,0.87,11.60,1.46,39.06
819083,0.10,-0.31,0.94,8.18,-5.92,58.65
819115,0.12,-0.27,0.93,-3.97,-6.04,68.30
819148,0.11,-0.30,0.95,6.16,-10.93,80.38
819180,0.11,-0.26,0.96,8.12,-14.47,93.99
819212,0.09,-0.33,0.94,-7.81,-25.94,98.45
819243,0.04,-0.34,0.92,-20.32,-39.31,121.58
819274,-0.07,-0.11,0.99,-3.17,-43.27,144.53
819307,-0.09,-0.09,0.98,5.31,-27.16,119.75
819338,-0.05,-0.24,0.94,5.62,-28.50,104.92
819371,-0.15,-0.06,1.04,-17.88,-40.28,121.95
819404,-0.19,0.10,1.13,-10.62,-25.51,120.24
819435,-0.15,0.15,1.05,-20.87,-8.18,109.68
819467,-0.16,0.26,1.02,-40.41,-11.60,100.59
819500,-0.25,0.39,1.10,-22.03,-5.68,82.70
819532,-0.21,0.28,1.02,-14.47,8.36,67.81
819565,-0.19,0.22,0.94,-27.47,5.00,52.25
819597,-0.15,0.13,0.92,-24.48,-5.74,46.26
819629,-0.14,0.14,0.90,-34.97,-21.24,49.44
