timestamp_ms,ax,ay,az,gx,gy,gz
651538,0.12,0.05,0.92,3.72,9.16,-6.23
651570,0.16,0.02,0.88,5.07,4.03,-9.09
651602,0.20,-0.08,0.88,8.85,-5.31,-9.89
651634,0.15,-0.11,1.00,12.57,-12.63,-1.83
651667,0.12,-0.05,1.04,3.85,-10.07,7.75
651699,0.10,0.03,1.06,4.21,-6.16,11.66
651731,0.08,0.07,1.08,-0.92,-0.92,7.39
651762,0.09,0.12,1.07,-2.56,5.19,4.52
651794,0.10,0.13,1.02,3.17,7.93,0.24
651825,0.12,0.08,0.96,-2.81,5.37,-7.39
651856,0.12,0.02,0.97,-4.76,-1.53,-8.48
651889,0.11,0.00,0.99,-4.64,-3.48,-5.31
651921,0.11,0.00,0.99,-5.49,-5.19,-1.59
651954,0.10,0.02,1.02,-3.97,-5.68,-2.50
651986,0.11,0.01,1.03,1.65,0.12,-3.42
652018,0.12,-0.01,1.00,-1.10,2.38,-0.98
652051,0.11,0.01,1.00,0.18,-0.73,1.53
652083,0.10,0.01,1.01,1.16,-0.18,3.91
652115,0.11,0.04,1.00,1.22,-0.79,6.16
652147,0.08,0.11,1.01,-5.80,-4.09,6.35
652179,0.07,0.15,1.04,1.28,2.81,2.38
652212,0.10,0.08,0.97,-6.10,4.27,-7.81
652243,0.13,-0.01,0.94,-1.65,-0.67,-7.93
652276,0.10,-0.01,0.98,-0.73,-6.71,-5.92
652309,0.09,-0.04,1.01,1.28,-2.93,-0.61
652341,0.11,0.00,0.96,-3.85,1.71,2.75
652373,0.11,0.05,0.95,0.37,-2.87,3.23
652406,0.10,0.08,0.99,2.26,-8.36,3.42
652438,0.09,0.14,1.00,-0.67,-6.29,1.34
652470,0.07,0.17,1.03,2.99,-4.52,-7.32
652502,0.05,0.27,1.04,-0.49,-3.66,-9.40
652534,-0.02,0.36,1.09,0.06,-6.16,-16.66
652567,-0.07,0.47,1.15,0.79,-4.33,-30.03
652600,-0.14,0.60,1.16,-7.20,11.90,-45.41
652632,-0.16,0.58,1.08,-8.06,23.01,-72.08
652665,-0.15,0.38,1.01,-7.26,23.80,-96.80
652697,-0.08,0.33,0.92,-15.44,21.06,-113.89
652730,-0.07,0.36,0.90,-9.83,11.54,-120.61
652761,-0.11,0.24,0.94,7.93,3.78,-138.92
652793,-0.14,0.03,1.02,25.45,0.43,-154.60
652825,-0.13,-0.07,1.09,27.53,-0.12,-154.11
652858,-0.14,-0.07,1.11,27.71,15.62,-159.06
652890,-0.12,-0.23,1.00,27.04,27.47,-162.72
652922,-0.11,-0.33,0.95,24.60,30.03,-159.48
652954,-0.06,-0.46,0.93,34.12,30.09,-146.55
652987,0.00,-0.49,0.91,4.21,16.91,-123.78
653019,-0.00,-0.39,0.94,0.31,21.85,-109.01
653051,0.03,-0.40,0.92,9.16,25.51,-101.01
653083,0.06,-0.42,0.91,3.54,25.57,-99.55
653115,0.08,-0.41,0.87,-10.86,20.08,-87.04
653147,0.10,-0.43,0.82,-6.53,5.80,-84.59
653180,0.08,-0.52,0.92,18.68,1.77,-81.54
653212,0.11,-0.52,0.91,6.65,9.58,-68.48
653244,0.19,-0.59,0.83,-0.55,10.31,-45.47
653277,0.17,-0.48,0.85,8.42,3.97,-39.31
653308,0.18,-0.48,0.85,0.49,1.46,-31.37
653336,0.19,-0.54,0.85,0.79,-4.46,-22.22
653368,0.13,-0.57,0.94,-3.23,-9.34,-11.35
653401,0.12,-0.61,0.93,-6.04,-5.43,3.66
653434,0.13,-0.62,0.92,-6.10,-3.85,16.78
653465,0.15,-0.56,0.92,5.74,-3.66,37.17
653498,0.19,-0.49,0.90,4.09,-4.39,46.02
653530,0.14,-0.48,0.89,6.16,-7.57,48.28
653562,0.08,-0.55,0.94,11.60,-14.59,51.51
653593,0.04,-0.56,1.01,4.64,-15.44,63.96
653625,0.02,-0.45,1.01,5.00,1.22,88.99
653657,0.03,-0.60,0.83,-1.77,7.45,88.75
653690,0.06,-0.53,0.83,-15.62,-5.68,103.52
653723,0.09,-0.45,0.83,2.38,-7.51,129.33
653755,0.07,-0.16,0.85,5.49,-17.40,135.01
653785,0.06,-0.17,0.86,13.98,-21.97,114.99
653818,0.02,-0.31,0.95,8.48,-35.71,97.47
653850,-0.02,-0.30,1.06,16.60,-39.06,115.42
653882,-0.05,-0.12,1.10,17.70,-23.99,121.03
653914,0.02,-0.07,1.00,-1.16,-22.09,113.22
653947,0.04,-0.20,0.96,5.00,-23.50,105.77
653979,-0.05,0.02,1.03,5.00,-29.30,113.95
654011,-0.02,-0.10,1.03,22.40,-23.99,103.88
654044,-0.02,0.07,1.06,14.04,-23.80,100.34
654076,-0.01,-0.08,0.99,-1.46,-19.71,86.18
654108,-0.05,0.11,1.09,9.58,-21.42,94.48
654140,0.01,0.01,1.02,2.38,-11.72,83.31
654171,0.01,0.14,0.98,-10.31,-14.53,80.81
654204,0.04,0.25,1.01,5.13,-9.28,74.16
654235,0.09,0.17,0.96,-8.18,-11.84,44.56
654267,0.06,0.25,1.03,-1.04,-15.08,39.73
654300,0.05,0.18,1.06,0.73,-13.00,25.27
654331,0.05,0.12,1.09,6.59,-8.30,13.67
654364,0.08,0.05,1.06,-4.39,-2.93,6.04
654395,0.10,-0.01,1.03,-2.81,-0.61,3.78
654427,0.08,-0.01,1.05,-3.11,-1.53,1.28
654460,0.11,-0.06,1.06,-3.54,0.31,-1.22
654492,0.11,-0.04,1.03,-8.61,3.17,-1.28
654522,0.11,-0.06,1.01,-2.81,4.15,-4.33
