timestamp_ms,ax,ay,az,gx,gy,gz
1033689,-0.05,-0.04,1.01,-2.69,-3.23,-0.31
1033722,-0.07,-0.03,1.04,1.95,-0.06,-1.10
1033755,-0.05,-0.05,1.00,-2.81,1.95,-1.40
1033787,-0.05,-0.03,1.00,-4.15,0.92,-1.59
1033819,-0.05,-0.04,0.99,-1.83,0.24,-2.20
1033852,-0.06,-0.05,1.00,0.24,-0.92,-1.10
1033884,-0.07,-0.05,1.01,-0.61,-0.43,-1.77
1033917,-0.06,-0.04,1.02,2.44,0.92,-0.85
1033949,-0.04,-0.03,1.00,-0.43,1.40,-1.22
1033981,-0.06,-0.06,0.99,0.43,0.67,-1.34
1034013,-0.06,-0.06,1.00,-2.08,1.71,-2.01
1034046,-0.06,-0.06,0.99,1.34,0.49,0.98
1034079,-0.06,-0.09,0.99,3.48,-1.10,1.89
1034111,-0.09,-0.13,1.03,6.71,-1.71,4.09
1034143,-0.11,-0.20,1.06,17.09,2.44,10.44
1034176,-0.12,-0.37,1.04,56.21,0.43,29.54
1034208,-0.14,-0.56,0.84,63.42,-9.95,53.10
1034240,-0.21,-0.54,1.00,-9.46,-16.30,62.13
1034272,-0.19,-0.55,0.97,-6.65,-6.10,71.04
1034305,-0.17,-0.33,1.00,-15.56,4.46,93.08
1034337,-0.18,-0.38,0.90,-0.92,-0.06,88.93
1034370,-0.18,-0.28,0.93,-15.62,-0.37,94.36
1034402,-0.13,-0.18,0.93,-1.40,-0.55,109.62
1034435,-0.15,-0.14,0.88,-17.46,-8.42,98.39
1034468,-0.13,0.04,1.03,13.24,-11.78,103.09
1034499,-0.09,-0.03,0.95,21.00,-10.62,82.46
1034531,-0.13,-0.13,0.97,25.02,-19.71,79.83
1034564,-0.12,-0.02,0.96,11.54,-17.21,82.15
1034596,-0.04,0.07,1.03,39.49,-27.04,70.56
1034629,-0.05,-0.04,0.96,40.04,-24.05,53.77
1034661,-0.03,-0.07,0.97,53.89,-31.49,50.84
1034693,-0.09,-0.21,0.92,34.36,-33.33,38.94
1034726,-0.16,-0.23,0.93,14.71,-31.56,43.15
1034759,-0.23,-0.27,0.92,12.33,-28.56,52.80
1034791,-0.24,-0.28,0.85,-3.48,-25.15,58.04
1034824,-0.21,-0.14,0.98,-8.73,-25.70,64.82
1034857,-0.22,-0.19,0.86,-19.78,-28.08,55.18
1034890,-0.30,-0.33,0.88,-30.64,-32.35,50.48
1034923,-0.29,-0.19,1.03,-36.25,-27.89,71.78
1034956,-0.21,-0.08,1.00,-48.28,-20.45,56.64
1034989,-0.15,-0.02,1.10,-42.24,-19.23,57.62
1035021,-0.18,0.01,1.07,-25.45,-15.14,54.08
1035054,-0.18,0.11,1.14,-5.43,-14.83,45.84
1035086,-0.15,-0.01,1.07,-1.65,-2.14,34.24
1035119,-0.05,0.01,1.03,-12.63,2.56,32.41
1035151,0.01,0.09,1.08,-11.78,-1.71,25.02
1035183,-0.07,0.06,1.08,4.58,-0.06,3.42
1035215,-0.09,-0.09,1.02,2.62,7.20,-5.25
1035248,-0.13,-0.10,0.94,-2.75,7.20,-12.51
1035281,-0.20,-0.22,0.99,7.75,-3.30,-16.91
1035313,-0.17,-0.29,0.94,-2.56,7.32,-7.69
1035346,-0.13,-0.18,0.92,-17.76,10.01,-5.31
1035378,-0.13,-0.17,0.96,-1.46,-1.59,-5.55
1035411,-0.13,-0.17,0.99,2.32,1.34,-3.78
1035444,-0.12,-0.14,1.00,0.55,3.30,-4.03
1035476,-0.13,-0.11,1.00,-2.01,1.89,-8.24
1035508,-0.16,-0.11,1.11,5.13,0.67,-8.12
1035541,-0.12,-0.08,1.06,-0.55,12.88,-12.21
1035574,-0.08,-0.04,1.00,-3.54,15.01,-18.01
1035607,-0.12,-0.04,1.01,5.25,11.84,-22.46
1035639,-0.16,-0.09,1.05,-4.70,15.56,-22.77
1035672,-0.15,0.06,1.08,-36.01,35.89,-20.75
1035705,-0.03,0.15,1.00,-41.26,45.17,-37.48
1035737,-0.06,0.19,1.05,-29.42,26.43,-59.63
1035770,-0.09,0.12,1.11,-24.72,35.28,-66.10
1035802,-0.06,0.14,1.06,-46.26,49.56,-70.43
