timestamp_ms,ax,ay,az,gx,gy,gz
861056,0.01,-0.04,1.02,-0.67,-4.76,-4.39
861089,-0.01,-0.05,1.02,-1.83,-0.92,-1.46
861121,0.01,-0.04,1.02,-1.40,-1.89,-1.59
861153,0.01,-0.00,1.02,-5.00,0.37,-0.06
861186,0.01,-0.00,1.02,-2.50,0.61,-1.04
861218,-0.01,-0.03,1.01,-3.36,3.17,-2.38
861251,0.02,-0.02,0.98,-3.17,4.03,-3.66
861283,0.03,-0.02,0.97,-4.70,1.65,-3.97
861316,0.02,-0.04,1.01,-0.49,-3.72,-2.56
861348,-0.00,-0.04,1.03,-0.24,0.06,0.79
861381,-0.01,-0.03,1.03,0.67,-0.37,0.43
861413,-0.01,-0.01,1.02,-2.50,1.77,-1.34
861446,0.01,-0.02,1.00,0.67,3.42,-0.24
861479,0.01,-0.02,1.00,-0.55,4.76,0.31
861510,0.02,0.00,0.97,-2.50,0.67,-1.40
861542,0.01,-0.03,0.99,-1.65,0.98,-3.78
861574,0.01,-0.03,0.98,-1.22,1.22,-0.24
861606,0.01,-0.02,0.98,-1.95,-3.54,1.34
861639,-0.00,-0.06,1.02,-3.66,-0.37,0.67
861672,-0.01,-0.12,1.04,-3.05,3.60,7.87
861704,-0.03,-0.20,1.03,-1.71,9.03,21.06
861737,-0.06,-0.35,1.00,-19.90,14.65,31.92
861769,-0.02,-0.28,1.00,-18.31,17.52,60.55
861802,-0.00,-0.19,0.97,-8.79,16.91,89.05
861834,-0.01,-0.17,0.93,-4.52,10.74,103.82
861867,0.00,-0.00,1.00,3.36,1.22,120.97
861899,-0.01,-0.00,0.99,8.67,6.90,119.32
861932,-0.00,0.11,1.04,12.39,3.36,114.69
861964,-0.03,0.04,1.05,12.21,8.06,100.83
861996,-0.04,-0.06,1.00,-6.84,14.83,88.01
862029,-0.05,-0.07,0.97,-7.69,9.09,97.66
862061,-0.04,-0.04,0.98,-13.12,5.07,103.21
862094,-0.05,-0.03,1.00,-15.14,6.35,105.16
862127,-0.06,-0.02,0.97,-17.76,11.29,107.30
862159,-0.06,-0.01,0.95,-17.40,11.72,116.03
862191,-0.05,0.09,0.97,-20.45,10.19,119.69
862223,-0.02,0.17,0.96,-23.38,12.15,117.98
862256,-0.02,0.18,0.94,-26.00,11.96,105.53
862288,-0.03,0.24,0.98,-24.78,1.16,105.71
862320,-0.05,0.25,1.01,-18.37,2.44,100.16
862352,-0.03,0.34,1.04,-24.96,5.37,95.21
862385,-0.01,0.37,1.02,-23.44,14.47,83.98
862417,0.00,0.32,0.98,-14.16,14.28,71.53
862449,-0.01,0.28,0.99,-14.83,12.76,65.00
862481,-0.00,0.28,0.98,-13.43,12.15,66.28
862513,-0.00,0.26,0.94,-14.40,11.05,62.32
862546,0.01,0.27,0.94,-15.38,7.45,58.96
862577,-0.00,0.24,0.93,-9.77,5.43,57.80
862609,-0.01,0.25,0.93,-7.32,0.43,59.20
862642,-0.02,0.28,0.95,-13.18,-2.50,58.84
862674,-0.04,0.29,0.97,-1.89,-4.88,59.39
862707,-0.04,0.37,1.00,3.23,-0.73,60.49
862739,-0.02,0.42,0.99,1.22,5.49,54.99
862771,0.01,0.45,0.97,2.62,4.46,37.41
862803,0.01,0.43,0.99,-14.71,-3.60,12.02
862835,0.01,0.40,0.99,-5.86,3.30,8.67
862867,0.01,0.37,0.94,-0.61,4.03,0.06
862899,-0.00,0.32,0.93,-8.48,-1.59,-12.33
862931,-0.01,0.28,0.97,0.31,-3.78,-10.86
862964,-0.04,0.21,0.99,1.28,-1.22,-7.87
862997,0.00,0.24,0.97,-8.54,0.79,-6.10
863029,-0.00,0.25,0.97,-2.20,-0.79,-4.70
863061,-0.01,0.24,0.95,-6.10,-1.59,-5.37
863094,0.00,0.27,0.96,-6.53,-0.43,-2.38
863126,-0.02,0.27,0.96,0.12,-2.14,-0.24
863151,-0.03,0.27,0.98,-1.59,-3.60,-2.32
863184,-0.03,0.30,0.98,-6.23,-0.49,-1.89
863216,-0.01,0.29,0.96,0.85,0.24,-2.38
863248,-0.00,0.28,0.94,-1.04,-0.12,-3.30
863281,-0.01,0.29,0.96,2.26,-2.99,-6.10
863313,-0.02,0.24,0.97,-1.95,-2.50,-6.41
863346,-0.02,0.26,0.96,-0.98,-3.66,-2.56
863379,-0.03,0.24,0.99,-0.98,-2.44,-0.49
863412,-0.00,0.29,0.94,-5.80,0.92,1.34
863444,-0.00,0.28,0.95,-2.20,-3.97,-2.87
863477,-0.02,0.30,0.97,-2.08,-3.78,-1.16
863510,-0.02,0.30,0.98,-1.22,-2.14,-1.65
863542,-0.03,0.31,0.97,-6.47,-0.18,-3.54
863575,-0.02,0.30,0.97,-2.26,-0.24,-6.53
863608,-0.04,0.28,0.98,2.08,-0.43,-4.21
863640,-0.03,0.28,0.97,-0.24,1.89,-3.30
863673,-0.02,0.28,0.97,3.30,2.50,-5.31
863705,-0.01,0.29,0.95,-1.40,3.66,-4.52
863737,-0.00,0.27,0.94,1.89,1.59,-4.52
863769,-0.02,0.28,0.97,1.22,-0.92,-4.52
863801,-0.02,0.27,0.95,0.06,3.36,-2.87
863833,0.00,0.26,0.93,1.28,1.46,-0.85
863865,-0.01,0.27,0.96,-0.67,-4.15,-2.08
863898,-0.02,0.28,0.98,0.85,-0.55,-1.59
863930,-0.01,0.27,0.96,-0.79,0.00,0.18
863963,-0.01,0.28,0.98,-1.40,-3.11,0.73
863995,-0.02,0.30,0.98,-1.34,0.67,0.06
864027,-0.01,0.28,0.96,1.46,2.44,-2.14
