timestamp_ms,ax,ay,az,gx,gy,gz
763479,0.19,-0.05,1.00,-1.40,0.43,-1.34
763511,0.19,-0.09,0.99,4.52,4.46,-1.16
763544,0.19,-0.10,0.97,3.85,3.30,-2.50
763576,0.19,-0.13,0.97,-1.53,1.89,-1.89
763608,0.21,-0.09,0.97,-4.27,0.73,0.12
763640,0.20,-0.08,0.96,1.22,0.43,6.84
763672,0.17,-0.06,0.96,0.73,-2.93,6.77
763705,0.16,-0.05,0.97,0.18,-3.48,5.62
763737,0.16,-0.06,0.97,-2.26,-3.11,2.87
763769,0.17,-0.06,0.98,1.04,-4.46,0.37
763802,0.19,-0.06,1.01,-0.85,-6.29,2.38
763834,0.18,-0.07,1.03,5.55,-5.43,5.00
763866,0.17,-0.03,1.04,4.09,-3.72,4.09
763898,0.15,-0.06,1.05,6.59,-1.10,0.73
763931,0.15,-0.06,1.02,0.67,3.36,-1.40
763963,0.19,-0.07,0.98,-0.55,6.35,-2.87
763996,0.21,-0.08,0.98,-0.73,4.21,-5.49
764028,0.21,-0.12,1.02,5.92,-0.06,0.49
764060,0.18,-0.12,1.03,0.43,2.87,-0.06
764093,0.18,-0.18,1.02,1.10,6.90,-0.49
764125,0.17,-0.23,0.98,-1.89,8.67,3.42
764157,0.16,-0.32,0.97,8.85,4.33,17.64
764189,0.14,-0.46,0.93,12.02,1.83,41.02
764221,0.12,-0.50,0.90,17.09,-1.65,70.50
764254,0.08,-0.39,0.87,30.09,-14.83,99.49
764286,0.03,-0.31,0.81,19.65,-33.94,117.43
764319,-0.05,-0.17,0.94,9.16,-42.85,125.18
764351,-0.03,-0.05,0.96,24.84,-35.89,145.39
764384,0.11,0.04,1.01,2.50,-41.56,120.24
764416,0.07,0.02,1.19,-1.77,-44.13,85.82
764448,0.01,0.04,1.14,-20.51,-19.65,83.50
764480,-0.09,0.12,1.17,10.80,-14.77,88.32
764513,-0.05,-0.02,1.00,23.74,8.24,69.64
764545,0.03,-0.16,0.83,16.36,16.72,56.46
764576,0.11,-0.20,0.82,16.05,-9.03,82.28
764609,0.13,-0.01,0.89,-20.57,-15.44,86.91
764641,0.00,0.20,0.99,-34.06,-24.17,83.86
764673,-0.08,0.19,1.13,-6.23,-29.66,87.83
764705,-0.11,0.13,1.10,-20.20,0.37,71.59
764738,-0.00,0.15,1.01,-6.10,14.71,77.76
764770,0.11,0.17,0.87,4.64,16.54,69.64
764802,0.12,-0.01,0.86,10.62,4.58,44.07
764834,0.13,-0.01,0.93,16.97,0.79,51.57
764866,0.18,-0.04,0.97,23.32,-6.59,60.42
764898,0.14,0.23,1.08,0.24,-9.16,61.95
764930,0.15,0.39,1.14,-0.79,-7.81,44.98
764962,0.12,0.45,1.13,-9.83,-6.65,12.70
764992,0.05,0.36,1.18,1.22,-8.91,-13.79
765024,0.02,0.28,1.18,0.98,5.92,-39.25
765056,0.00,0.26,1.12,2.14,11.17,-50.11
765088,0.01,0.20,1.15,8.42,12.76,-67.44
765119,0.06,0.17,1.12,4.82,22.16,-79.65
765151,0.06,0.11,1.07,3.11,29.66,-91.98
765183,-0.00,0.07,1.05,9.09,26.92,-93.87
765215,0.01,0.04,1.03,2.44,28.69,-106.57
765248,0.03,-0.05,0.95,10.50,37.60,-111.69
765280,0.05,-0.13,0.88,5.74,32.04,-113.95
765313,0.13,-0.12,0.92,-13.12,26.43,-123.29
765345,0.08,-0.15,0.91,-2.14,23.74,-124.94
765377,0.09,-0.22,0.91,16.54,17.33,-114.26
765409,0.09,-0.19,0.91,-2.81,22.64,-117.92
765441,0.06,-0.25,0.90,-8.00,18.92,-127.14
765473,0.06,-0.34,0.94,-10.19,10.86,-112.12
765506,0.08,-0.28,0.94,-11.66,14.22,-98.51
765538,0.11,-0.32,0.91,4.88,7.57,-74.77
765570,0.09,-0.36,0.94,6.16,3.23,-59.88
765602,0.11,-0.30,0.98,-4.58,9.95,-48.03
765635,0.14,-0.34,0.94,-4.09,13.12,-39.98
765667,0.17,-0.31,0.93,-12.45,10.07,-28.56
765700,0.15,-0.26,0.97,-29.85,4.70,-35.71
765732,0.15,-0.33,0.99,-13.92,8.06,-28.63
765765,0.16,-0.32,0.96,-21.30,6.53,-18.43
765797,0.18,-0.26,0.97,-10.62,5.13,-0.43
765829,0.21,-0.23,0.94,-6.16,6.65,6.53
765861,0.22,-0.16,0.94,-10.31,-2.50,-0.85
765893,0.21,-0.13,0.99,1.34,-1.89,1.10
765925,0.20,-0.14,0.96,0.24,-1.10,-0.31
765957,0.18,-0.13,0.98,-0.24,-1.65,-1.16
765989,0.18,-0.14,0.97,6.10,-1.59,-0.31
766022,0.17,-0.17,0.99,-1.77,1.83,-3.30
766054,0.18,-0.17,0.97,3.60,2.20,3.05
766085,0.19,-0.14,0.99,0.31,2.32,3.78
766117,0.20,-0.13,0.97,-3.54,0.31,-0.12
766150,0.19,-0.16,0.99,-8.91,1.65,-4.88
766182,0.19,-0.13,0.99,-5.62,2.62,-0.06
766214,0.20,-0.14,0.97,-3.11,3.91,-1.46
766247,0.20,-0.13,0.97,-7.75,2.01,-1.89
766279,0.20,-0.15,0.97,-9.16,2.93,-5.07
766312,0.19,-0.14,0.97,-12.21,1.40,-4.27
766344,0.21,-0.12,0.95,-9.77,1.65,0.55
766376,0.20,-0.08,0.96,-5.62,-1.89,-1.16
766408,0.20,-0.06,0.98,-4.27,-4.39,-7.26
766441,0.20,-0.10,0.98,-3.23,-2.01,-9.22
