timestamp_ms,ax,ay,az,gx,gy,gz
816041,0.13,0.04,1.00,3.11,-1.83,-4.09
816073,0.12,0.03,1.01,0.55,0.00,-0.43
816105,0.14,0.08,1.00,-0.55,4.03,-0.37
816137,0.15,0.07,0.98,-0.79,0.85,-1.40
816169,0.15,0.07,0.99,0.31,0.37,-2.62
816201,0.14,0.04,1.01,2.26,-0.18,-2.93
816233,0.13,0.02,1.01,-1.40,0.73,-0.24
816265,0.13,0.07,1.02,-3.78,3.17,1.04
816297,0.15,0.05,0.97,-1.59,4.88,-0.85
816328,0.17,0.05,0.96,-3.85,2.50,-1.53
816360,0.15,0.07,0.98,-1.83,-2.26,-1.71
816393,0.13,0.04,1.00,5.98,-1.28,-1.34
816424,0.14,0.04,0.98,3.97,-0.37,-1.22
816456,0.16,0.05,0.96,3.11,0.06,-1.40
816488,0.14,0.06,0.98,1.89,-2.62,0.00
816520,0.13,0.04,0.96,2.44,-2.38,-0.49
816552,0.11,-0.03,1.00,4.27,-5.62,-4.09
816585,0.12,-0.16,1.03,0.37,-1.65,1.22
816617,0.11,-0.15,1.02,-7.26,-0.92,9.16
816650,0.11,-0.18,1.02,1.22,-0.12,18.86
816682,0.10,-0.21,1.01,6.65,0.43,24.66
816714,0.12,-0.25,1.01,17.88,0.00,39.43
816746,0.07,-0.31,0.97,17.70,2.69,52.19
816778,0.08,-0.39,0.95,15.44,4.70,72.14
816810,0.07,-0.25,0.94,-14.53,-1.83,89.36
816842,0.03,-0.01,0.99,0.92,-3.78,101.93
816875,0.03,-0.05,0.94,-1.46,-2.01,92.53
816907,-0.01,-0.00,1.00,-0.67,-10.50,98.33
816940,-0.03,0.05,1.02,-5.37,-6.10,102.29
816972,-0.02,0.09,0.98,-18.62,4.27,99.12
817005,-0.03,0.26,0.98,-20.20,-4.52,102.78
817037,-0.05,0.18,0.96,-22.52,0.67,89.97
817070,-0.07,0.17,0.94,-48.65,2.50,92.65
817102,-0.07,0.33,0.90,-38.39,7.02,93.02
817135,-0.03,0.30,0.91,-40.10,2.75,82.52
817166,-0.06,0.39,0.94,-30.21,1.95,84.84
817199,-0.07,0.30,0.93,-28.93,1.83,72.88
817231,-0.06,0.45,1.02,-4.03,-0.61,82.52
817263,-0.01,0.47,1.00,4.39,6.35,61.95
817294,-0.02,0.46,1.01,15.56,4.76,56.40
817327,-0.01,0.49,0.97,17.64,10.56,52.80
817359,0.01,0.56,0.95,16.60,5.37,34.36
817391,0.03,0.59,0.97,24.96,-1.22,21.24
817423,-0.03,0.60,1.05,20.81,-4.76,0.37
817454,-0.02,0.54,1.05,26.43,3.48,-14.59
817486,-0.02,0.48,1.04,21.79,5.37,-27.77
817518,-0.00,0.47,1.03,10.01,6.41,-38.82
817551,-0.03,0.47,1.05,15.87,6.90,-53.96
817583,-0.02,0.35,1.04,22.58,12.21,-65.98
817615,-0.02,0.29,1.02,22.83,15.50,-68.91
817647,0.01,0.27,1.01,22.71,15.81,-67.69
817679,0.05,0.30,0.98,23.19,16.11,-74.89
817711,0.04,0.23,0.96,23.44,13.61,-85.63
817743,0.02,0.19,0.97,16.91,10.25,-91.80
817775,0.00,0.13,0.99,22.64,8.42,-91.37
817807,0.03,0.05,0.96,16.30,13.79,-99.12
817839,0.02,-0.03,0.94,10.44,9.70,-99.55
817871,0.03,-0.14,0.95,0.31,7.63,-95.15
817904,0.06,-0.13,0.93,-5.37,10.74,-83.37
817937,0.13,-0.12,0.84,-10.86,7.39,-77.21
817969,0.08,-0.10,0.89,-2.14,-9.52,-74.89
818002,0.09,-0.22,0.94,3.85,-10.50,-71.04
818035,0.06,-0.18,0.96,6.90,-5.00,-60.61
818067,0.10,-0.31,0.95,7.81,-6.23,-55.85
818100,0.08,-0.22,0.97,11.90,-12.15,-40.16
818132,0.10,-0.35,0.98,23.44,-10.13,-37.72
818165,0.09,-0.37,1.00,9.22,-16.54,-30.58
818197,0.08,-0.31,1.05,-2.01,-9.09,-12.15
818230,0.10,-0.20,1.01,-0.24,-5.00,-2.81
818263,0.08,-0.16,1.05,-1.95,-7.39,-1.71
818296,0.08,-0.10,1.05,-4.82,0.06,2.87
818328,0.07,-0.10,1.04,-5.31,0.98,3.11
818360,0.06,-0.09,1.03,-8.85,2.01,6.71
818393,0.06,-0.06,1.03,-9.09,2.99,10.13
818425,0.09,-0.05,1.00,-12.51,7.20,10.56
818457,0.09,-0.01,1.01,-8.73,3.66,10.74
818489,0.11,-0.01,1.02,-7.14,7.20,12.76
818522,0.10,0.05,1.02,-9.58,11.78,13.00
818554,0.14,0.02,0.99,-7.87,20.81,8.30
818586,0.18,-0.03,0.92,-15.69,20.32,4.82
818619,0.20,0.02,0.90,-12.88,8.79,8.67
818650,0.16,0.06,0.97,-1.83,-4.03,9.03
818683,0.13,0.06,1.03,-3.72,-6.04,5.68
818714,0.12,0.09,1.04,-8.91,1.34,0.55
818747,0.16,0.05,1.01,-0.67,5.25,-4.21
818779,0.17,-0.01,0.98,0.61,4.03,-7.51
818811,0.14,-0.03,0.99,2.81,0.37,-5.55
818843,0.12,-0.03,1.04,0.61,0.98,-1.40
818869,0.13,-0.01,1.02,0.98,6.23,0.37
818900,0.17,-0.02,0.96,-4.46,8.73,0.12
818933,0.19,-0.03,0.97,-1.16,2.26,2.44
818965,0.17,0.01,0.99,-0.55,4.27,6.29
818996,0.17,0.02,0.96,-2.38,5.13,2.32
