timestamp_ms,ax,ay,az,gx,gy,gz
770978,0.20,-0.15,0.97,-2.93,0.61,-1.22
771011,0.19,-0.22,0.96,-6.59,0.06,-0.92
771041,0.17,-0.27,0.96,-9.46,0.37,4.94
771073,0.17,-0.31,0.95,-7.45,-0.92,17.64
771105,0.19,-0.23,0.97,-11.23,-2.62,33.75
771137,0.20,-0.16,0.97,-8.54,-4.27,42.30
771169,0.15,-0.24,1.00,-22.40,-2.62,38.02
771202,0.13,-0.29,1.00,-20.14,1.10,53.96
771234,0.12,-0.26,0.98,-24.41,1.77,69.27
771266,0.12,-0.22,0.96,-30.76,3.11,81.91
771299,0.12,-0.13,0.95,-27.34,3.54,103.21
771331,0.11,-0.07,0.92,-22.34,-0.18,114.87
771364,0.10,0.07,0.97,-19.04,-2.87,125.06
771396,0.09,0.06,0.95,-6.41,0.49,129.39
771428,0.09,0.11,0.93,-17.46,0.06,125.12
771460,0.08,0.21,0.97,-8.06,4.03,120.30
771492,0.07,0.12,0.93,-15.81,3.23,107.73
771524,0.03,0.17,0.98,-16.42,-0.49,113.59
771556,0.01,0.20,0.97,-8.85,2.75,123.54
771588,0.00,0.26,0.94,-20.39,3.72,116.58
771620,0.01,0.32,0.95,-20.69,7.39,113.16
771652,0.02,0.28,0.90,-23.99,12.08,112.92
771684,0.06,0.29,0.83,-27.95,12.82,113.89
771716,0.04,0.40,0.82,-53.22,5.43,103.33
771748,-0.02,0.53,0.93,-34.79,-4.21,95.28
771781,-0.02,0.58,1.01,-4.33,-7.81,90.52
771813,-0.01,0.56,1.01,-11.72,-6.10,61.89
771845,-0.01,0.62,1.00,-17.21,-3.72,46.20
771878,-0.01,0.63,1.02,0.06,-1.04,30.76
771910,-0.00,0.65,1.03,3.66,0.98,10.07
771942,-0.01,0.63,1.01,3.97,4.39,-7.81
771974,-0.03,0.63,1.03,8.54,5.68,-22.22
772006,-0.02,0.63,1.04,15.44,14.10,-42.91
772039,0.01,0.54,0.98,13.79,18.43,-60.00
772070,0.03,0.51,0.95,15.56,17.40,-71.84
772102,0.04,0.50,0.96,19.59,14.10,-82.52
772134,0.05,0.44,0.94,22.40,14.59,-94.97
772167,0.05,0.41,0.96,20.08,13.43,-107.18
772196,0.08,0.34,0.93,14.83,15.38,-115.05
772228,0.10,0.32,0.89,3.48,15.50,-124.88
772260,0.09,0.27,0.88,11.23,7.08,-129.39
772293,0.10,0.18,0.94,16.72,-0.73,-134.95
772325,0.08,0.15,0.97,17.09,4.27,-123.41
772357,0.12,0.05,0.94,30.15,7.51,-109.50
772389,0.16,0.05,0.92,9.89,5.19,-104.74
772421,0.21,0.05,0.89,6.59,8.00,-102.36
772452,0.21,0.03,0.87,15.14,4.03,-95.83
772484,0.20,-0.03,0.90,19.41,-5.13,-91.00
772516,0.19,-0.03,0.94,14.16,-5.31,-91.25
772548,0.19,-0.13,0.92,21.24,-6.65,-90.45
772574,0.19,-0.14,0.96,22.77,-10.62,-85.57
772605,0.20,-0.14,0.97,19.59,-5.49,-74.22
772638,0.21,-0.12,0.97,22.95,-2.20,-70.19
772670,0.21,-0.21,0.96,16.91,-2.32,-76.84
772703,0.21,-0.27,0.99,8.79,-1.40,-73.24
772736,0.21,-0.25,0.96,1.59,4.33,-58.59
772768,0.23,-0.29,0.92,7.02,4.15,-46.02
772800,0.24,-0.23,0.93,5.19,0.61,-34.06
772833,0.23,-0.27,0.93,3.72,0.55,-30.21
772865,0.24,-0.26,0.94,1.59,-0.06,-20.26
772897,0.23,-0.24,0.95,-3.23,-2.01,-13.00
772930,0.24,-0.23,0.96,-0.31,-2.08,-6.41
772963,0.24,-0.24,0.97,-7.32,-1.65,-3.23
772995,0.25,-0.18,0.98,-0.31,-1.34,3.17
773028,0.25,-0.20,0.97,-5.49,-0.73,0.61
773060,0.24,-0.14,0.99,-6.29,-1.34,4.70
773092,0.24,-0.14,0.98,-4.09,0.24,5.00
773123,0.23,-0.13,0.98,-5.13,1.22,4.03
773156,0.24,-0.12,0.97,-2.20,2.75,5.31
773188,0.25,-0.10,0.97,-4.39,1.59,4.46
773221,0.25,-0.10,0.97,-4.33,2.26,2.08
773252,0.25,-0.12,0.96,-5.55,2.69,0.24
773284,0.24,-0.10,0.97,-7.63,3.17,1.89
773317,0.26,-0.10,0.96,-1.71,2.93,2.69
773349,0.26,-0.10,0.96,-4.03,1.83,-0.79
773382,0.26,-0.11,0.96,-3.85,2.01,-0.67
773414,0.26,-0.12,0.95,-6.53,0.18,-0.06
773446,0.25,-0.07,0.98,-0.92,-1.28,2.87
773479,0.25,-0.09,0.97,2.69,-0.49,1.95
773511,0.25,-0.09,0.97,-1.95,1.53,-2.38
773544,0.26,-0.13,0.97,-3.11,1.22,-1.59
773576,0.25,-0.11,0.98,1.22,0.49,3.11
773608,0.26,-0.07,0.98,3.36,-0.18,4.76
773640,0.24,-0.08,0.99,0.31,1.89,-2.81
773672,0.24,-0.12,0.98,0.79,3.66,-1.53
773705,0.25,-0.13,0.95,-1.10,4.52,-0.18
773737,0.25,-0.12,0.95,-3.36,3.23,0.98
773769,0.27,-0.10,0.94,-0.55,2.26,4.27
773802,0.28,-0.07,0.95,-1.04,1.40,2.38
773834,0.27,-0.07,0.95,1.22,-0.43,0.49
773866,0.26,-0.10,0.97,0.98,-0.37,-1.46
773898,0.26,-0.12,0.96,-2.26,1.40,-1.95
773930,0.26,-0.12,0.96,-1.71,0.00,0.24
