timestamp_ms,ax,ay,az,gx,gy,gz
793510,0.08,-0.04,1.02,0.61,-0.31,-0.55
793542,0.10,-0.04,1.00,-3.30,4.09,-3.30
793574,0.10,-0.01,1.00,-2.20,-2.56,-4.58
793607,0.09,-0.05,1.01,3.42,-0.24,-2.14
793639,0.10,-0.04,0.99,4.09,3.97,-0.61
793671,0.11,-0.03,1.00,-1.04,-0.31,-1.89
793703,0.10,-0.04,1.01,-4.76,-1.83,-3.97
793735,0.12,-0.04,0.99,0.12,3.91,-1.28
793767,0.10,-0.05,1.01,-2.50,-1.34,-1.16
793800,0.10,-0.02,1.02,-2.81,-1.34,0.79
793832,0.09,-0.00,1.02,2.44,4.88,0.12
793864,0.11,-0.03,0.99,0.49,4.09,-0.73
793897,0.11,-0.02,1.01,-1.22,-1.04,-2.50
793930,0.11,-0.03,0.99,0.92,2.99,-0.49
793962,0.12,-0.02,0.97,3.11,-1.10,0.61
793994,0.11,-0.01,1.00,-1.28,-3.60,-3.11
794027,0.10,-0.03,1.01,2.38,2.75,-2.14
794059,0.10,-0.05,1.00,3.72,2.20,-1.65
794091,0.10,-0.04,1.00,-0.79,-0.06,-2.38
794124,0.10,-0.03,1.00,3.36,2.50,-0.06
794156,0.12,-0.05,0.99,2.75,3.05,-1.95
794188,0.12,-0.04,0.97,-2.01,-0.55,-1.83
794221,0.10,-0.06,1.01,0.12,1.65,-1.34
794253,0.11,-0.06,0.99,-1.71,3.05,0.49
794285,0.12,-0.05,1.00,-2.99,0.00,1.10
794316,0.11,-0.04,1.01,-1.77,-0.37,1.28
794349,0.11,-0.06,1.01,-0.18,4.21,2.44
794381,0.12,-0.09,0.98,-0.61,1.34,1.77
794413,0.12,-0.11,0.98,0.06,-2.75,3.30
794445,0.09,-0.16,1.02,6.53,-2.87,7.02
794478,0.08,-0.21,0.98,8.42,3.48,14.16
794510,0.07,-0.28,0.95,4.21,-0.37,23.32
794542,0.06,-0.34,0.93,1.83,-1.89,34.00
794574,0.06,-0.31,0.95,0.79,-6.53,48.16
794606,0.05,-0.26,0.96,2.38,-5.80,61.83
794639,0.02,-0.22,1.03,6.59,-2.14,73.24
794671,0.01,-0.30,0.98,1.40,1.95,76.05
794703,0.02,-0.24,0.98,-0.43,3.85,95.03
794735,0.03,-0.15,0.98,0.98,-1.77,105.41
794767,0.04,0.05,0.98,-11.66,-4.94,105.04
794799,0.05,0.10,0.98,15.20,-10.13,98.82
794831,0.02,0.01,0.99,8.06,-19.71,88.75
794863,0.02,0.02,1.00,5.86,-14.53,87.83
794895,0.01,0.06,1.00,-9.09,-12.82,85.45
794928,0.00,0.23,1.03,-1.16,-13.43,86.91
794960,-0.03,0.02,0.99,4.09,-10.68,66.16
794992,-0.02,0.13,1.04,6.41,-18.68,74.89
795024,-0.07,0.05,1.05,8.12,-12.33,68.54
795056,-0.07,0.07,1.01,-8.73,-9.03,65.43
795089,-0.02,0.14,0.94,-2.69,-4.82,68.05
795121,-0.01,0.11,0.93,-3.78,-17.82,57.50
795153,-0.02,0.13,1.01,-3.91,-12.08,55.79
795186,0.01,0.29,0.98,-4.70,-11.60,51.88
795218,0.01,0.33,1.06,-8.36,-12.33,31.31
795251,-0.01,0.39,1.10,-1.71,-8.00,18.55
795283,-0.01,0.39,1.09,6.53,-2.08,7.20
795316,0.01,0.42,1.09,8.36,2.75,-12.51
795348,-0.02,0.36,1.09,11.72,0.06,-31.86
795380,-0.07,0.29,1.10,19.29,4.03,-39.67
795412,-0.11,0.26,1.10,12.27,13.12,-50.05
795444,-0.04,0.25,1.04,-2.26,25.39,-63.42
795477,0.00,0.23,0.95,0.18,21.55,-69.58
795509,-0.05,0.08,1.05,20.69,8.79,-79.04
795541,-0.05,0.06,1.03,3.60,16.05,-86.06
795574,-0.04,0.11,0.98,3.42,21.55,-87.40
795606,-0.02,0.02,1.01,4.64,14.53,-92.59
795639,0.00,-0.00,1.01,0.85,19.41,-96.50
795671,-0.03,-0.06,0.99,5.13,17.76,-98.57
795704,-0.04,-0.13,0.98,-0.06,17.46,-92.59
795736,0.06,-0.07,0.94,-9.09,19.17,-92.35
795769,0.05,-0.06,0.92,-5.86,10.86,-93.51
795801,0.01,-0.16,0.98,11.05,3.85,-90.21
795834,-0.01,-0.21,0.97,7.02,8.06,-83.80
795866,0.03,-0.21,0.95,5.68,7.63,-80.26
795899,0.02,-0.28,1.00,7.57,4.09,-73.85
795931,0.05,-0.28,0.99,1.65,6.71,-64.33
795963,0.06,-0.32,0.93,0.12,2.20,-56.52
795995,0.03,-0.39,0.95,2.87,3.91,-43.21
796026,0.04,-0.45,0.95,-6.29,3.60,-34.61
796059,0.05,-0.35,0.96,-12.70,1.34,-14.65
796091,0.07,-0.26,0.98,-4.88,1.22,-2.93
796124,0.10,-0.20,0.99,-2.56,3.54,-2.14
796155,0.12,-0.13,1.00,0.37,3.42,-1.04
796187,0.12,-0.18,0.98,3.66,3.66,-1.28
796220,0.12,-0.19,0.98,1.34,3.17,3.36
796252,0.14,-0.15,0.98,-3.54,2.93,9.03
796283,0.14,-0.08,1.00,1.71,1.22,9.83
796315,0.15,-0.07,0.99,-3.85,3.36,5.74
796347,0.13,-0.05,1.01,-3.42,0.18,4.82
796379,0.12,-0.08,1.02,-7.26,2.93,0.73
796412,0.10,-0.04,1.05,-2.44,1.89,4.21
796444,0.10,-0.03,1.05,-6.77,7.57,2.69
796476,0.12,-0.00,1.04,-2.44,12.21,0.67
