,importancia
acc_mag_t_argmax,0.0013265506848819863
gyro_mag_zcr,0.0012991704632979403
gy_mean_abs_diff,0.001293244329300858
ax_rms,0.0012564396019636688
ax_f_spread,0.0012488374112860873
gyro_mag_spec_entropy,0.0012218562165195533
ay_entropy,0.0012093519745421048
acc_mag_median,0.0011709969296952276
acc_mag_spec_entropy,0.0011703615520085656
gx_entropy,0.0011609446687181402
az_f_dom,0.0010846618622783345
az_f_spread,0.0010579186586833318
gy_entropy,0.0010352642414278807
az_entropy,0.0010080195368839175
ax_f_dom,0.0010058356208240363
gx_mean,0.001000724867726493
acc_mag_f_centroid,0.0009996730976737313
az_spec_entropy,0.0009557434677883459
ax_f_centroid,0.0009525019241840712
az_f_centroid,0.0009148441556214931
ax_variance,0.0009146959011346307
gyro_mag_f_centroid,0.0009096875595625606
gx_t_argmin,0.0008909595439146868
acc_mag_entropy,0.0008799054493696873
gy_kurtosis,0.000820084066334424
gyro_mag_t_argmax,0.0008127146674594584
ax_iqr,0.0008064743648566016
gx_kurtosis,0.000793451669969701
az_skewness,0.000784550319531561
ax_kurtosis,0.0007829486992788424
az_t_argmin,0.0007715444454775957
acc_mag_zcr,0.000769540421947962
gz_skewness,0.0007481104616343808
gyro_mag_f_dom,0.0007047034693595831
ay_mean,0.0006973494586407045
ax_mad,0.0006882556100119038
acc_mag_f_spread,0.0006824624654448401
gy_f_centroid,0.0006823507415273479
gx_median,0.0006768618913974267
gz_mean_abs_diff,0.0006748244270854454
gyro_mag_min,0.0006704934139610079
az_kurtosis,0.0006280284380375414
az_t_argmax,0.0005928088670776981
gy_spec_entropy,0.0005899322476375775
gyro_mag_entropy,0.0005898074957140655
ay_f_spread,0.0005832252859967259
acc_mag_t_argmin,0.0005263032493789571
gy_median,0.0005148590898043278
gx_skewness,0.0005127442635242486
gy_f_spread,0.0005058654428548226
az_zcr,0.0004900840143532484
ax_entropy,0.00048459621845187644
ay_median,0.00047658510597248135
gy_skewness,0.00047162770631938695
ax_skewness,0.00045943912387944047
ax_spec_entropy,0.0004552783313030762
gx_zcr,0.0004327699712547482
gyro_mag_kurtosis,0.0004263383824685957
gyro_mag_t_argmin,0.0004140008281934765
ay_f_dom,0.00041243922675203616
acc_mag_kurtosis,0.0003944000190504792
ay_zcr,0.00039349771815288604
gz_median,0.0003545718249128772
gx_f_dom,0.0003370805269341331
gy_mean,0.00033594536379467937
gyro_mag_skewness,0.0002651857047268635
gy_zcr,0.00025887880445590845
ax_zcr,0.00020743053399276872
gy_f_dom,0.00010529953684684164
