,precision,recall,f1-score,support
abajo,1.0,1.0,1.0,30.0
arriba,0.9743589743589743,0.9047619047619048,0.9382716049382716,42.0
circulo,1.0,0.9696969696969697,0.9846153846153847,33.0
derecha,0.7272727272727273,0.38095238095238093,0.5,42.0
izquierda,0.47368421052631576,0.8181818181818182,0.6,33.0
accuracy,0.7944444444444444,0.7944444444444444,0.7944444444444444,0.7944444444444444
macro avg,0.8350631824316036,0.8147186147186147,0.8045773979107311,180.0
weighted avg,0.8338895023105549,0.7944444444444444,0.7927761949984172,180.0
