proyeccion,J_fisher,dim
PCA-2D,4.8228580404902885,2
LDA-2D,135.70929838505373,2
PCA-3D,7.808365475543379,3
LDA-3D,138.25469708991412,3
Trío crudo 3D,56.71300331254913,3
