timestamp_ms,ax,ay,az,gx,gy,gz
231819,0.17,0.13,-0.78,41.44,30.09,17.82
231852,0.19,0.09,-0.86,61.04,27.47,19.41
231883,0.12,0.09,-0.86,48.95,16.91,28.81
231914,0.15,0.18,-0.82,19.47,26.00,29.24
231945,0.12,0.17,-0.83,34.55,17.46,24.41
231978,0.02,0.14,-0.89,31.68,15.69,29.60
232009,0.05,0.27,-0.94,19.84,29.24,34.36
232041,0.05,0.33,-1.00,36.62,17.40,36.25
232073,0.02,0.30,-1.00,36.50,-2.08,30.33
232106,-0.05,0.37,-0.96,18.62,10.31,26.49
232138,0.02,0.46,-1.07,28.99,23.07,28.87
232170,0.00,0.41,-1.12,26.98,1.10,27.10
232202,-0.01,0.52,-1.06,2.99,7.63,15.01
232235,-0.00,0.45,-1.10,13.55,20.63,21.30
232267,0.07,0.43,-1.08,18.31,9.58,22.40
232296,0.02,0.38,-1.03,12.08,7.39,15.38
232326,-0.02,0.37,-0.98,15.38,10.13,22.64
232359,-0.04,0.39,-0.98,12.02,14.59,28.75
232391,-0.01,0.43,-1.02,10.07,19.59,26.43
232423,-0.04,0.44,-1.04,-2.26,18.07,6.84
232456,-0.07,0.44,-1.05,-8.30,17.64,15.56
232489,-0.04,0.48,-1.05,-4.27,25.94,23.32
232521,-0.01,0.44,-1.10,3.42,23.32,23.56
232553,-0.04,0.45,-1.06,-12.27,10.74,9.16
232585,-0.08,0.43,-0.96,-12.57,17.03,2.99
232617,-0.07,0.39,-1.00,-7.75,28.32,-0.06
232650,-0.07,0.37,-1.04,-7.75,25.27,1.77
232682,-0.09,0.38,-0.96,-4.21,16.30,4.21
232715,-0.14,0.34,-1.00,-2.50,21.67,-7.02
232747,-0.11,0.38,-0.95,-26.00,32.78,-5.25
232780,-0.15,0.38,-0.91,-7.57,26.00,-5.07
232813,-0.20,0.35,-0.91,0.00,27.16,-4.21
232845,-0.16,0.39,-0.95,-9.03,30.64,-6.53
232878,-0.19,0.36,-0.92,2.32,20.57,-12.27
232910,-0.26,0.31,-0.92,8.48,14.59,-8.30
232943,-0.25,0.34,-0.91,1.59,20.94,8.97
232976,-0.21,0.38,-0.95,7.57,12.15,10.74
233008,-0.24,0.35,-0.93,1.40,7.57,7.45
233040,-0.24,0.39,-0.89,4.88,15.99,10.44
233072,-0.23,0.37,-0.98,7.08,12.88,-0.61
233104,-0.26,0.34,-0.95,-8.91,12.70,-8.06
233137,-0.27,0.36,-0.89,-0.37,13.55,0.31
233169,-0.25,0.36,-0.96,11.05,11.41,5.43
233201,-0.24,0.34,-0.98,-0.85,0.18,-3.42
233234,-0.29,0.34,-0.88,-2.50,-0.31,-2.26
233267,-0.27,0.36,-0.91,0.85,6.23,1.04
233299,-0.28,0.37,-0.92,1.10,0.98,-0.24
233331,-0.29,0.37,-0.87,2.99,0.37,1.71
233364,-0.28,0.38,-0.88,4.52,7.57,2.56
233396,-0.27,0.37,-0.93,5.31,4.27,-1.53
233429,-0.27,0.36,-0.91,-5.00,-1.10,-6.16
233461,-0.29,0.37,-0.86,1.65,0.31,-0.37
233491,-0.28,0.36,-0.88,3.54,5.37,0.31
233524,-0.26,0.35,-0.93,-0.31,0.61,-1.22
233557,-0.27,0.39,-0.87,-2.81,-1.53,0.24
233589,-0.28,0.36,-0.87,3.05,0.85,-1.95
233622,-0.28,0.36,-0.91,-0.98,5.25,-2.08
233655,-0.28,0.36,-0.90,-1.89,0.06,-0.18
233687,-0.30,0.36,-0.87,0.55,-1.59,-1.10
233720,-0.28,0.36,-0.88,-0.73,4.21,-0.61
233753,-0.27,0.38,-0.91,1.04,2.44,0.49
233784,-0.27,0.37,-0.90,0.43,-1.89,-2.38
233817,-0.29,0.38,-0.88,1.16,-1.77,-2.26
233849,-0.27,0.39,-0.91,2.14,1.77,-0.92
233881,-0.25,0.42,-0.96,4.94,-1.16,-3.11
233914,-0.27,0.43,-0.97,3.72,-6.47,-7.75
233946,-0.28,0.44,-0.97,1.71,-6.77,-11.78
233979,-0.27,0.43,-1.01,-0.31,-6.41,-16.30
234009,-0.25,0.46,-1.02,4.39,-12.33,-13.98
234041,-0.25,0.45,-1.10,13.43,-25.51,-15.14
234074,-0.25,0.47,-1.08,10.56,-32.59,-18.19
234106,-0.29,0.46,-1.09,14.53,-31.19,-15.69
234138,-0.23,0.54,-1.11,19.71,-27.10,-18.80
234170,-0.31,0.44,-1.08,27.89,-41.20,-24.41
234203,-0.33,0.44,-1.03,13.37,-9.46,-7.75
234236,-0.10,0.64,-1.12,15.87,-17.70,-16.17
234269,-0.27,0.56,-1.08,15.08,-38.64,-31.13
234301,-0.24,0.60,-0.95,3.17,-1.53,-23.62
234333,-0.17,0.64,-0.98,20.87,8.00,-21.91
234365,-0.19,0.63,-0.98,19.41,4.64,-28.50
234397,-0.17,0.64,-0.92,19.78,-0.98,-33.02
234430,-0.21,0.61,-0.86,25.27,2.81,-24.17
234463,-0.11,0.60,-0.83,19.53,15.08,-19.96
234495,-0.10,0.50,-0.79,22.16,-1.65,-31.19
234528,-0.04,0.45,-0.74,2.08,-1.95,-30.70
234561,-0.03,0.45,-0.73,-17.21,-10.93,-42.11
234594,0.01,0.42,-0.70,-9.28,-18.74,-35.46
234627,0.05,0.34,-0.72,-34.97,-26.79,-46.51
234660,-0.01,0.37,-0.72,-46.39,-27.28,-40.77
234693,0.05,0.40,-0.74,-58.72,-13.31,-29.66
234724,0.15,0.37,-0.75,-47.61,-11.35,-28.87
234756,0.10,0.33,-0.77,-24.60,-24.78,-33.39
234788,0.05,0.30,-0.76,-34.85,-18.80,-24.66
