proyeccion,dim,J_entrenamiento
Caracteristicas,2,47.163232639979384
PCA,2,5.250803926862336
LDA,2,150.120905768831
Caracteristicas,3,61.25149992960326
PCA,3,8.15010927039583
LDA,3,152.40154555841923
