,precision,recall,f1-score,support
abajo,1.0,1.0,1.0,30.0
arriba,0.9743589743589743,0.9047619047619048,0.9382716049382716,42.0
circulo,1.0,0.9696969696969697,0.9846153846153847,33.0
derecha,0.7692307692307693,0.7142857142857143,0.7407407407407407,42.0
izquierda,0.6,0.7272727272727273,0.6575342465753424,33.0
accuracy,0.8555555555555555,0.8555555555555555,0.8555555555555555,0.8555555555555555
macro avg,0.8687179487179486,0.8632034632034632,0.8642323953739478,180.0
weighted avg,0.8668376068376069,0.8555555555555555,0.8594969797100694,180.0
